PeriodStart,YearMonth,CancellationValue,CancellationUnits,CancellationInvoices,KnownCustomersWithCancellations,SalesRevenue,CancellationValueRate,OperationalAdjustmentRows,OperationalAdjustmentLineAmount
2009-12-01,2009-12,19561.28000000,9984,379,297,801102.97000000,0.02383500,90,0.00000000
2010-01-01,2010-01,7465.63000000,3304,241,183,613850.81200000,0.01201500,128,0.00000000
2010-02-01,2010-02,12584.39000000,6740,219,183,539744.68600000,0.02278400,447,0.00000000
2010-03-01,2010-03,9657.20000000,4274,351,274,764333.85100000,0.01247700,190,0.00000000
2010-04-01,2010-04,10025.26000000,5998,263,215,648993.82200000,0.01521200,75,0.00000000
2010-05-01,2010-05,37294.14000000,16568,387,306,645645.39000000,0.05460800,369,0.00000000
2010-06-01,2010-06,26380.61000000,15367,319,261,700047.07000000,0.03631500,140,0.00000000
2010-07-01,2010-07,17132.73000000,5987,314,257,634896.99000000,0.02627500,88,0.00000000
2010-08-01,2010-08,12418.65000000,6276,242,205,676060.72000000,0.01803700,93,0.00000000
2010-09-01,2010-09,27777.97000000,94286,319,253,871878.34100000,0.03087600,93,0.00000000
2010-10-01,2010-10,25550.02000000,11430,406,330,1098017.67000000,0.02274000,118,0.00000000
2010-11-01,2010-11,35120.88000000,17638,544,415,1435680.12200000,0.02387800,225,0.00000000
2010-12-01,2010-12,17607.86000000,16009,301,246,777931.77000000,0.02213300,70,0.00000000
2011-01-01,2011-01,91526.30000000,79784,247,198,671933.19000000,0.11988300,96,0.00000000
2011-02-01,2011-02,8375.87000000,2606,191,167,508886.20000000,0.01619200,48,0.00000000
2011-03-01,2011-03,10675.30000000,4338,281,227,691257.61000000,0.01520800,134,0.00000000
2011-04-01,2011-04,33316.91000000,13600,220,188,516218.12100000,0.06062700,186,0.00000000
2011-05-01,2011-05,8948.23000000,4057,267,215,741192.41000000,0.01192800,117,0.00000000
2011-06-01,2011-06,13760.84000000,7215,299,256,738751.87000000,0.01828600,107,0.00000000
2011-07-01,2011-07,11409.21000000,5946,236,196,689364.41100000,0.01628000,117,0.00000000
2011-08-01,2011-08,22929.52000000,11662,240,195,725513.50000000,0.03063600,50,0.00000000
2011-09-01,2011-09,17044.68000000,7084,299,241,1030475.36100000,0.01627100,98,0.00000000
2011-10-01,2011-10,43992.16000000,23847,308,266,1106669.82000000,0.03823200,146,0.00000000
2011-11-01,2011-11,25010.54000000,12332,396,312,1457745.53000000,0.01686700,137,0.00000000
2011-12-01,2011-12,174126.76000000,83550,137,130,615493.27000000,0.22051900,30,0.00000000
