CountryKey,Country,SalesRevenue,Orders,UnitsSold,KnownCustomers,AverageOrderValue,RevenuePerKnownCustomer,CancellationValue,CancellationValueRate,RevenueShare,CumulativeRevenueShare,RevenueRank,MeetsCancellationRateMinimumBase
47,United Kingdom,16857062.00600000,36187,9209210,5334,465.83198402,3160.30408811,635249.66000000,0.03631500,0.8556150000,0.8556150000,1,True
79,EIRE,623795.85000000,581,336323,3,1073.65895008,207931.95000000,20388.75000000,0.03165000,0.0316620000,0.8872770000,2,True
56,Netherlands,549775.06000000,216,383626,22,2545.25490740,24989.77545454,3677.98000000,0.00664500,0.0279040000,0.9151820000,3,True
65,Germany,383847.67100000,753,223303,107,509.75786321,3587.36141121,8715.49000000,0.02220100,0.0194820000,0.9346650000,4,True
59,France,311288.38000000,598,270779,93,520.54913043,3347.18688172,17662.04000000,0.05369200,0.0158000000,0.9504650000,5,True
77,Australia,167867.51000000,89,103763,15,1886.15179775,11191.16733333,1517.86000000,0.00896000,0.0085200000,0.9589850000,6,False
48,Spain,97818.07000000,144,50018,38,679.29215277,2574.15973684,12955.19000000,0.11695200,0.0049640000,0.9639500000,7,True
54,Switzerland,94046.89000000,85,52624,22,1106.43400000,4274.85863636,1106.53000000,0.01162800,0.0047730000,0.9687240000,8,False
75,Sweden,86353.04000000,99,88554,19,872.25292929,4544.89684210,1973.97000000,0.02234800,0.0043830000,0.9731070000,9,False
80,Denmark,67422.69000000,42,237406,12,1605.30214285,5618.55750000,4067.10000000,0.05689000,0.0034220000,0.9765290000,10,False
72,Belgium,57012.67000000,143,34353,29,398.69000000,1965.95413793,394.28000000,0.00686800,0.0028930000,0.9794230000,11,True
73,Portugal,47406.87000000,85,27565,23,557.72788235,2061.16826086,630.28000000,0.01312000,0.0024060000,0.9818290000,12,False
60,Channel Islands,44040.23000000,54,21395,13,815.55981481,3387.71000000,2188.52000000,0.04734100,0.0022350000,0.9840640000,13,False
61,Japan,43023.91000000,33,31643,10,1303.75484848,4302.39100000,3277.14000000,0.07077800,0.0021830000,0.9862480000,14,False
70,Norway,38575.36000000,39,23556,12,989.11179487,3214.61333333,161.68000000,0.00417300,0.0019570000,0.9882060000,15,False
49,Italy,28951.95000000,59,15260,17,490.71101694,1703.05588235,710.70000000,0.02395900,0.0014690000,0.9896760000,16,False
76,Finland,25180.10000000,54,14265,13,466.29814814,1936.93076923,90.44000000,0.00357800,0.0012780000,0.9909540000,17,False
74,Cyprus,24614.44000000,35,10982,11,703.26971428,2237.67636363,496.70000000,0.01978000,0.0012490000,0.9922030000,18,False
46,Austria,20297.01000000,40,11499,13,507.42525000,1561.30846153,225.41000000,0.01098300,0.0010300000,0.9932330000,19,False
45,Greece,18711.19000000,18,7716,5,1039.51055555,3742.23800000,50.70000000,0.00270200,0.0009490000,0.9941830000,20,False
82,Hong Kong,13875.25000000,9,7074,0,1541.69444444,,10.95000000,0.00078800,0.0007040000,0.9948870000,21,False
63,Singapore,13158.16000000,8,6987,1,1644.77000000,13158.16000000,0.00000000,0.00000000,0.0006670000,0.9955550000,22,False
66,Israel,11334.66000000,10,5541,4,1133.46600000,2833.66500000,227.44000000,0.01967100,0.0005750000,0.9961300000,23,False
64,Unspecified,10936.01000000,24,6734,6,455.66708333,1822.66833333,22.00000000,0.00200700,0.0005550000,0.9966860000,24,False
81,United Arab Emirates,10273.23000000,12,7316,4,856.10250000,2568.30750000,645.08000000,0.05908200,0.0005210000,0.9972070000,25,False
55,Poland,10214.29000000,28,5677,6,364.79607142,1702.38166666,374.36000000,0.03535400,0.0005180000,0.9977250000,26,False
68,USA,7920.01000000,16,5259,8,495.00062500,990.00125000,2080.32000000,0.20802500,0.0004010000,0.9981270000,27,False
51,Iceland,4921.53000000,8,2967,1,615.19125000,4921.53000000,0.00000000,0.00000000,0.0002490000,0.9983770000,28,False
85,Lithuania,4892.68000000,6,2306,1,815.44666666,4892.68000000,0.00000000,0.00000000,0.0002480000,0.9986260000,29,False
84,Malta,4757.34000000,7,2505,2,679.62000000,2378.67000000,90.12000000,0.01859100,0.0002410000,0.9988670000,30,False
53,Canada,4332.10000000,7,3656,5,618.87142857,866.42000000,0.00000000,0.00000000,0.0002190000,0.9990870000,31,False
86,RSA,3369.03000000,3,1969,2,1123.01000000,1684.51500000,0.00000000,0.00000000,0.0001710000,0.9992580000,32,False
83,Bahrain,3109.79000000,10,1339,2,310.97900000,1554.89500000,248.24000000,0.07392400,0.0001570000,0.9994160000,33,False
67,Thailand,3070.54000000,2,2552,1,1535.27000000,3070.54000000,0.00000000,0.00000000,0.0001550000,0.9995720000,34,False
52,Lebanon,1905.58000000,2,458,1,952.79000000,1905.58000000,0.00000000,0.00000000,0.0000960000,0.9996680000,35,False
71,Brazil,1411.87000000,2,545,2,705.93500000,705.93500000,0.00000000,0.00000000,0.0000710000,0.9997400000,36,False
58,Bermuda,1253.14000000,1,2798,0,1253.14000000,,0.00000000,0.00000000,0.0000630000,0.9998040000,37,False
78,European Community,1159.25000000,3,490,1,386.41666666,1159.25000000,8.50000000,0.00727800,0.0000580000,0.9998620000,38,False
50,Korea,1118.51000000,2,700,2,559.25500000,559.25500000,168.69000000,0.13105100,0.0000560000,0.9999190000,39,False
69,Czech Republic,786.74000000,2,670,1,393.37000000,786.74000000,115.02000000,0.12755000,0.0000390000,0.9999590000,40,False
57,West Indies,536.41000000,1,395,1,536.41000000,536.41000000,0.00000000,0.00000000,0.0000270000,0.9999860000,41,False
62,Saudi Arabia,145.92000000,1,80,1,145.92000000,145.92000000,14.75000000,0.09180300,0.0000070000,0.9999940000,42,False
44,Nigeria,112.57000000,1,102,1,112.57000000,112.57000000,147.05000000,0.56640400,0.0000050000,1.0000000000,43,False
