CustomerKey,CustomerID,SalesRevenue,Orders,Units,FirstPurchaseDate,LastPurchaseDate,ActiveLifespanDays,RevenueShare,CumulativeRevenueShare,RevenueRank
11699,18102,580987.04000000,145,181645,2009-12-01,2011-12-09,738,0.0339240000,0.0339240000,1
8243,14646,526751.52000000,145,367072,2009-12-02,2011-12-08,736,0.0307580000,0.0646820000,2
7753,14156,303256.43000000,144,164400,2009-12-01,2011-11-30,729,0.0177070000,0.0823900000,3
8508,14911,272393.03000000,373,147842,2009-12-01,2011-12-08,737,0.0159050000,0.0982960000,4
11047,17450,244944.25000000,51,83934,2010-09-27,2011-12-01,430,0.0143020000,0.1125980000,5
7291,13694,195640.69000000,143,188201,2009-12-04,2011-12-06,732,0.0114230000,0.1240220000,6
11108,17511,172132.87000000,60,117174,2009-12-02,2011-12-07,735,0.0100510000,0.1340730000,7
10043,16446,168472.50000000,2,80997,2011-05-18,2011-12-09,205,0.0098370000,0.1439110000,8
10281,16684,147142.77000000,55,104810,2009-12-07,2011-12-05,728,0.0085910000,0.1525030000,9
6012,12415,144033.37000000,24,91443,2010-06-30,2011-11-15,503,0.0084100000,0.1609130000,10
8658,15061,126387.57000000,127,74279,2009-12-01,2011-12-06,735,0.0073800000,0.1682930000,11
8908,15311,114852.09000000,207,69975,2009-12-01,2011-12-09,738,0.0067060000,0.1750000000,12
6686,13089,113507.24000000,203,59011,2009-12-02,2011-12-07,735,0.0066270000,0.1816270000,13
9626,16029,109794.87000000,106,54549,2009-12-08,2011-11-01,693,0.0064110000,0.1880390000,14
11546,17949,107833.48000000,116,60440,2009-12-02,2011-12-08,736,0.0062960000,0.1943350000,15
6528,12931,92347.34000000,57,62906,2009-12-01,2011-11-18,717,0.0053920000,0.1997280000,16
7895,14298,91194.49000000,82,100272,2009-12-11,2011-12-01,720,0.0053250000,0.2050530000,17
9366,15769,88612.52000000,46,49068,2009-12-11,2011-12-02,721,0.0051740000,0.2102270000,18
5943,12346,77352.96000000,3,74239,2010-03-02,2011-01-18,322,0.0045160000,0.2147440000,19
7395,13798,75428.87000000,110,48187,2009-12-08,2011-12-08,730,0.0044040000,0.2191480000,20
9435,15838,73205.50000000,34,64114,2009-12-15,2011-11-28,713,0.0042740000,0.2234230000,21
11438,17841,69317.21000000,211,36956,2009-12-02,2011-12-08,736,0.0040470000,0.2274700000,22
10351,16754,65500.07000000,29,63551,2010-03-08,2010-12-02,269,0.0038240000,0.2312950000,23
7685,14088,64036.80000000,16,15276,2010-10-14,2011-11-29,411,0.0037390000,0.2350340000,24
10019,16422,61791.27000000,108,64129,2010-01-12,2011-11-22,679,0.0036080000,0.2386420000,25
10986,17389,57224.68000000,61,17882,2009-12-04,2011-12-09,735,0.0033410000,0.2419840000,26
6678,13081,56838.37000000,28,40077,2009-12-08,2011-11-28,720,0.0033180000,0.2453030000,27
9610,16013,56384.44000000,84,25592,2009-12-08,2011-12-06,728,0.0032920000,0.2485950000,28
8277,14680,55731.89000000,58,26900,2009-12-04,2011-11-14,710,0.0032540000,0.2518490000,29
6690,13093,54144.25000000,55,25971,2009-12-04,2011-03-09,460,0.0031610000,0.2550110000,30
7693,14096,53258.43000000,17,16336,2011-08-30,2011-12-05,97,0.0031090000,0.2581210000,31
