PeriodStart,YearMonth,Year,MonthNumber,SalesRevenue,UnitsSold,Orders,KnownCustomers,AverageOrderValue,CancellationValue,CancellationUnits,CancellationInvoices,CancellationValueRate
2009-12-01,2009-12,2009,12,801102.97000000,426738,1666,951,480.85412364,19561.28000000,9984,379,0.02383500
2010-01-01,2010-01,2010,1,613850.81200000,391267,1049,701,585.17713250,7465.63000000,3304,241,0.01201500
2010-02-01,2010-02,2010,2,539744.68600000,382528,1189,771,453.94843229,12584.39000000,6740,219,0.02278400
2010-03-01,2010-03,2010,3,764333.85100000,526362,1647,1051,464.07641226,9657.20000000,4274,351,0.01247700
2010-04-01,2010-04,2010,4,648993.82200000,367559,1435,939,452.26050313,10025.26000000,5998,263,0.01521200
2010-05-01,2010-05,2010,5,645645.39000000,396776,1484,965,435.07101752,37294.14000000,16568,387,0.05460800
2010-06-01,2010-06,2010,6,700047.07000000,408057,1615,1035,433.46567801,26380.61000000,15367,319,0.03631500
2010-07-01,2010-07,2010,7,634896.99000000,338581,1507,924,421.29859986,17132.73000000,5987,314,0.02627500
2010-08-01,2010-08,2010,8,676060.72000000,472971,1402,910,482.21164051,12418.65000000,6276,242,0.01803700
2010-09-01,2010-09,2010,9,871878.34100000,584855,1789,1136,487.35513750,27777.97000000,94286,319,0.03087600
2010-10-01,2010-10,2010,10,1098017.67000000,621610,2244,1492,489.31268716,25550.02000000,11430,406,0.02274000
2010-11-01,2010-11,2010,11,1435680.12200000,727553,2719,1606,528.01769841,35120.88000000,17638,544,0.02387800
2010-12-01,2010-12,2010,12,777931.77000000,358749,1550,884,501.89146451,17607.86000000,16009,301,0.02213300
2011-01-01,2011-01,2011,1,671933.19000000,387424,1081,739,621.58481961,91526.30000000,79784,247,0.11988300
2011-02-01,2011-02,2011,2,508886.20000000,283248,1093,757,465.58664226,8375.87000000,2606,191,0.01619200
2011-03-01,2011-03,2011,3,691257.61000000,377109,1440,973,480.04000694,10675.30000000,4338,281,0.01520800
2011-04-01,2011-04,2011,4,516218.12100000,308513,1235,853,417.99038137,33316.91000000,13600,220,0.06062700
2011-05-01,2011-05,2011,5,741192.41000000,395390,1668,1054,444.35995803,8948.23000000,4057,267,0.01192800
2011-06-01,2011-06,2011,6,738751.87000000,388826,1525,990,484.42745573,13760.84000000,7215,299,0.01828600
2011-07-01,2011-07,2011,7,689364.41100000,401357,1452,946,474.76887809,11409.21000000,5946,236,0.01628000
2011-08-01,2011-08,2011,8,725513.50000000,421445,1339,933,541.83233756,22929.52000000,11662,240,0.03063600
2011-09-01,2011-09,2011,9,1030475.36100000,569948,1818,1259,566.81813036,17044.68000000,7084,299,0.01627100
2011-10-01,2011-10,2011,10,1106669.82000000,621729,2005,1361,551.95502244,43992.16000000,23847,308,0.03823200
2011-11-01,2011-11,2011,11,1457745.53000000,750082,2751,1660,529.89659396,25010.54000000,12332,396,0.01686700
2011-12-01,2011-12,2011,12,615493.27000000,313283,816,614,754.28096813,174126.76000000,83550,137,0.22051900
