ProductKey,StockCode,RepresentativeDescription,ItemClass,SalesRevenue,UnitsSold,Orders,KnownCustomers,AverageUnitPrice,CancellationValue,CancellationUnits,RevenueShare,CumulativeRevenueShare,RevenueRank,UnitsRank,OrdersRank,KnownCustomerRank
8429,22423,REGENCY CAKESTAND 3 TIER,MERCHANDISE,331084.27000000,26519,3918,1314,12.48479467,16570.80000000,1452,0.0168040000,0.0168040000,1,49,3,2
6270,85123A,WHITE HANGING HEART T-LIGHT HOLDER,MERCHANDISE,261509.93000000,94839,5464,1490,2.75740918,9387.10000000,3637,0.0132730000,0.0300780000,2,4,1,1
6248,85099B,JUMBO BAG RED RETROSPOT,MERCHANDISE,182999.67000000,97350,4013,978,1.87981171,2168.82000000,1213,0.0092880000,0.0393660000,3,2,2,6
9350,23843,"PAPER CRAFT , LITTLE BIRDIE",MERCHANDISE,168469.60000000,80995,1,1,2.08000000,168469.60000000,80995,0.0085510000,0.0479170000,4,6,4652,4535
9692,47566,PARTY BUNTING,MERCHANDISE,148395.98000000,28216,2674,894,5.25928480,1238.55000000,285,0.0075320000,0.0554500000,5,41,7,9
9015,84879,ASSORTED COLOUR BIRD ORNAMENT,MERCHANDISE,129681.08000000,80293,2807,1010,1.61509820,774.07000000,511,0.0065820000,0.0620320000,6,7,6,5
6321,22086,PAPER CHAIN KIT 50'S CHRISTMAS,MERCHANDISE,117884.19000000,35126,2018,896,3.35603797,1461.70000000,590,0.0059830000,0.0680150000,7,25,27,8
7319,23166,MEDIUM CERAMIC TOP STORAGE JAR,MERCHANDISE,81700.92000000,78033,247,138,1.04700472,77479.64000000,74494,0.0041460000,0.0721620000,8,8,1197,1160
8176,79321,CHILLI LIGHTS,MERCHANDISE,80873.23000000,15918,1135,304,5.08061502,635.75000000,145,0.0041040000,0.0762670000,9,117,123,379
7952,22197,SMALL POPCORN HOLDER,MERCHANDISE,79552.50000000,88537,2322,601,0.89852265,616.58000000,804,0.0040370000,0.0803050000,10,5,12,51
