PeriodType,PeriodKey,Year,Quarter,DayOfWeekNumber,DayName,HourOfDay,SalesRevenue,UnitsSold,Orders,KnownCustomers,AverageOrderValue,CancellationValue,CancellationValueRate
DAY_OF_WEEK,DOW-1,,,1,Monday,,3424544.61500000,2032188,6245,2533,548.36583106,100022.67000000,0.02837800
DAY_OF_WEEK,DOW-2,,,2,Tuesday,,3888278.01200000,2143823,7147,2722,544.04337652,188462.37000000,0.04622800
DAY_OF_WEEK,DOW-3,,,3,Wednesday,,3384305.61300000,2001438,7115,2744,475.65785144,74050.74000000,0.02141200
DAY_OF_WEEK,DOW-4,,,4,Thursday,,4020053.57200000,2322898,8167,2986,492.23136671,104818.88000000,0.02541100
DAY_OF_WEEK,DOW-5,,,5,Friday,,3173438.47300000,1680167,5991,2426,529.70096361,234893.06000000,0.06891700
DAY_OF_WEEK,DOW-6,,,6,Saturday,,9803.05000000,5119,30,26,326.76833333,0.00000000,0.00000000
DAY_OF_WEEK,DOW-7,,,7,Sunday,,1801262.17200000,1036327,4824,2128,373.39597263,17445.22000000,0.00959200
HOUR_OF_DAY,HOUR-06,,,,,6,4.25000000,1,1,1,4.25000000,285.60000000,0.98533700
HOUR_OF_DAY,HOUR-07,,,,,7,75029.57000000,44857,76,67,987.23118421,2291.35000000,0.02963400
HOUR_OF_DAY,HOUR-08,,,,,8,522083.34000000,295938,995,688,524.70687437,8128.47000000,0.01533000
HOUR_OF_DAY,HOUR-09,,,,,9,1704888.09100000,917052,2720,1384,626.79709227,197714.52000000,0.10391700
HOUR_OF_DAY,HOUR-10,,,,,10,2512099.91300000,1490568,4563,2018,550.53690839,147078.45000000,0.05530900
HOUR_OF_DAY,HOUR-11,,,,,11,2431407.05300000,1452000,4837,2128,502.66840045,72576.33000000,0.02898400
HOUR_OF_DAY,HOUR-12,,,,,12,2796072.68100000,1669562,6369,2582,439.01282477,43137.98000000,0.01519300
HOUR_OF_DAY,HOUR-13,,,,,13,2490832.64400000,1555763,5638,2560,441.79365803,69414.81000000,0.02711200
HOUR_OF_DAY,HOUR-14,,,,,14,2225734.23100000,1192191,4977,2326,447.20398452,41305.66000000,0.01822000
HOUR_OF_DAY,HOUR-15,,,,,15,2234797.84200000,1242474,4487,2104,498.06058435,42013.22000000,0.01845200
HOUR_OF_DAY,HOUR-16,,,,,16,1462091.56100000,785555,2628,1340,556.35143112,38507.35000000,0.02566100
HOUR_OF_DAY,HOUR-17,,,,,17,816955.62100000,362133,1381,775,591.56815423,32529.94000000,0.03829300
HOUR_OF_DAY,HOUR-18,,,,,18,263789.97000000,120858,465,306,567.29025806,14353.43000000,0.05160400
HOUR_OF_DAY,HOUR-19,,,,,19,126359.88000000,71397,330,194,382.90872727,6708.43000000,0.05041300
HOUR_OF_DAY,HOUR-20,,,,,20,39538.86000000,21611,53,35,746.01622641,3642.45000000,0.08435200
HOUR_OF_DAY,HOUR-21,,,,,21,0.00000000,0,0,0,,4.95000000,1.00000000
QUARTER,2009-Q4,2009,4,,,,801102.97000000,426738,1666,951,480.85412364,19561.28000000,0.02383500
QUARTER,2010-Q1,2010,1,,,,1917929.34900000,1300157,3885,1783,493.67550810,29707.22000000,0.01525200
QUARTER,2010-Q2,2010,2,,,,1994686.28200000,1172392,4534,2041,439.93962990,73700.01000000,0.03563100
QUARTER,2010-Q3,2010,3,,,,2182836.05100000,1396407,4698,2051,464.63091762,57329.35000000,0.02559100
QUARTER,2010-Q4,2010,4,,,,3311629.56200000,1707912,6513,2665,508.46454199,78278.76000000,0.02309100
QUARTER,2011-Q1,2011,1,,,,1872077.00000000,1047781,3614,1774,518.00691754,110577.47000000,0.05577200
QUARTER,2011-Q2,2011,2,,,,1996162.40100000,1092729,4428,1988,450.80451693,56025.98000000,0.02730000
QUARTER,2011-Q3,2011,3,,,,2445353.27200000,1392750,4609,2155,530.56048426,51383.41000000,0.02058000
QUARTER,2011-Q4,2011,4,,,,3179908.62000000,1685094,5572,2559,570.69429648,243129.46000000,0.07102700
YEAR,2009,2009,,,,,801102.97000000,426738,1666,951,480.85412364,19561.28000000,0.02383500
YEAR,2010,2010,,,,,9407081.24400000,5576868,19630,4205,479.21962526,239015.34000000,0.02477800
YEAR,2011,2011,,,,,9493501.29300000,5218354,18223,4214,520.96259084,461116.32000000,0.04632100
