grain,metric,count,mean,std,min,p25,median,p75,p90,p95,p99,max
Order,Revenue,39519,498.53704564892837,1460.3866953687104,0.19,151.3,301.8,486.565,908.0600000000004,1435.0829999999996,4103.7487999999985,168469.6
Order,Units,39519,283.96366304815405,1204.1234957139213,1.0,68.0,149.0,290.0,524.2000000000044,798.0,2224.0,87167.0
Order,Distinct products,39519,25.103266783066374,42.26304026336375,1.0,6.0,15.0,28.0,51.0,73.0,196.8199999999997,1106.0
Customer,Revenue,5852,2926.4648063909776,14312.552833453214,2.95,342.195,860.265,2247.5474999999997,5393.0760000000055,9270.270499999999,28675.14539999991,580987.04
Customer,Orders,5852,6.253759398496241,12.75098507790221,1.0,1.0,3.0,7.0,13.0,20.0,46.0,373.0
Customer,Units,5852,1799.7783663704715,8894.750250939242,1.0,189.75,487.0,1362.25,3196.600000000002,5381.9,16739.879999999954,367072.0
Customer,Lifespan days,5852,273.8079289131921,258.64559607801516,0.0,0.0,223.0,512.0,667.0,713.0,732.0,738.0
Customer,Interpurchase days,30745,52.11657180029273,75.90028703269476,0.0,7.0,25.0,62.0,136.0,207.0,369.0,714.0
Product,Revenue,4726,4168.786607490478,11202.82830906195,0.017,287.735,1129.295,3555.1925,10023.285,18067.8525,47014.8775,331084.27
Product,Units,4726,2374.5154464663565,5913.665111151569,1.0,122.0,653.5,2184.75,5796.0,10054.5,26700.5,106379.0
Product,Orders,4726,209.91451544646637,336.07394231244194,1.0,26.0,89.0,250.0,540.5,830.75,1662.75,5464.0
Product,Known customers,4726,101.77549724925942,134.5639627241945,0.0,14.0,50.5,135.0,269.0,381.0,613.5,1490.0
Product,Average selling price,4726,3.605682115628438,8.325631352691593,0.001,0.976004625,1.9595485350000001,3.9312100549999998,7.562275335000001,10.0058407375,22.4806212375,243.68333333
Country,Revenue,43,458178.7327209303,2564141.4077990768,112.57,3239.41,13158.16,52209.770000000004,282604.2060000006,533182.3210999998,10039090.220479973,16857062.006
Country,Orders,43,919.046511627907,5508.82525266974,1.0,4.5,18.0,72.0,201.6000000000003,596.3,21304.71999999994,36187.0
Country,Known customers,43,136.37209302325581,811.786654568792,0.0,1.0,5.0,14.0,27.800000000000026,87.49999999999991,3138.659999999991,5334.0
Country,AOV,43,831.9124795186046,500.2005771145682,112.57,492.85582096999997,679.62,1090.0464750400001,1540.409555552,1640.823214285,2268.431601346999,2545.2549074
Cancellation line,Value,17974,40.04077779014132,1387.441907525244,0.12,3.75,8.5,17.0,39.6,81.20399999999965,358.0540000000001,168469.6
Cancellation line,Units,17974,26.14231667964838,835.4187834265415,1.0,1.0,2.0,6.0,19.0,36.0,250.0,80995.0
Cancellation invoice,Value,7406,97.17701053200109,2192.4549020063364,0.39,7.8,15.899999999999999,34.057500000000005,84.0,175.35,884.9039999999997,168469.6
Cancellation invoice,Units,7406,63.44612476370511,1645.3825124950577,1.0,2.0,4.0,11.0,32.0,84.0,457.59999999999854,87167.0
Cancellation customer,Value,2445,291.6344580777096,3869.9022751706475,0.42,15.95,38.87,103.65,295.114,523.3219999999998,3086.2247999999827,168469.6
Cancellation customer,Units,2445,190.6723926380368,2894.6670520635303,1.0,4.0,12.0,34.0,119.19999999999982,265.59999999999945,1851.5999999999926,87919.0
Cancellation product,Value,2886,249.3738530838531,3492.8383786438303,0.12,12.48,34.160000000000004,116.3625,365.52,675.4100000000001,1957.890000000006,168469.6
Cancellation product,Units,2886,162.81427581427582,2090.1140508093295,1.0,5.0,16.0,58.0,194.5,456.0,1648.750000000006,80995.0
Cancellation country,Value,33,21808.876969696972,110238.00474864703,8.5,147.05,496.7,2188.52,12107.250000000004,18752.724,438494.16879999987,635249.66
Cancellation country,Units,33,14238.848484848484,61927.43558448125,1.0,56.0,269.0,1500.0,5172.600000000001,41619.19999999988,265538.19999999995,348015.0
Cancellation month,Value,25,28787.717599999996,34965.888133995955,7465.63,11409.21,17607.86,27777.97,41312.95200000001,82019.47199999988,154302.64959999986,174126.76
Cancellation month,Units,25,18795.28,25916.47885760461,2606.0,5987.0,9984.0,16009.0,57409.200000000084,82796.79999999999,91709.35999999999,94286.0
