AcquisitionCohort,CohortIndex,ActivityMonth,CohortSize,ActiveCustomers,RetentionRate,IsPartialObservation,ObservationStatus
2009-12,0,2009-12,951,951,1,False,COMPLETE_MONTH
2009-12,1,2010-01,951,333,0.350157728707,False,COMPLETE_MONTH
2009-12,2,2010-02,951,317,0.333333333333,False,COMPLETE_MONTH
2009-12,3,2010-03,951,404,0.424815983176,False,COMPLETE_MONTH
2009-12,4,2010-04,951,360,0.378548895899,False,COMPLETE_MONTH
2009-12,5,2010-05,951,342,0.359621451104,False,COMPLETE_MONTH
2009-12,6,2010-06,951,358,0.376445846477,False,COMPLETE_MONTH
2009-12,7,2010-07,951,327,0.343848580442,False,COMPLETE_MONTH
2009-12,8,2010-08,951,321,0.337539432177,False,COMPLETE_MONTH
2009-12,9,2010-09,951,344,0.361724500526,False,COMPLETE_MONTH
2009-12,10,2010-10,951,401,0.421661409043,False,COMPLETE_MONTH
2009-12,11,2010-11,951,472,0.496319663512,False,COMPLETE_MONTH
2009-12,12,2010-12,951,358,0.376445846477,False,COMPLETE_MONTH
2009-12,13,2011-01,951,268,0.281808622503,False,COMPLETE_MONTH
2009-12,14,2011-02,951,232,0.243953732913,False,COMPLETE_MONTH
2009-12,15,2011-03,951,288,0.302839116719,False,COMPLETE_MONTH
2009-12,16,2011-04,951,250,0.262881177708,False,COMPLETE_MONTH
2009-12,17,2011-05,951,288,0.302839116719,False,COMPLETE_MONTH
2009-12,18,2011-06,951,270,0.283911671924,False,COMPLETE_MONTH
2009-12,19,2011-07,951,246,0.258675078864,False,COMPLETE_MONTH
2009-12,20,2011-08,951,242,0.254468980021,False,COMPLETE_MONTH
2009-12,21,2011-09,951,298,0.313354363828,False,COMPLETE_MONTH
2009-12,22,2011-10,951,289,0.30389064143,False,COMPLETE_MONTH
2009-12,23,2011-11,951,386,0.405888538381,False,COMPLETE_MONTH
2009-12,24,2011-12,951,187,0.196635120925,True,PARTIAL_THROUGH_2011-12-09
2010-01,0,2010-01,368,368,1,False,COMPLETE_MONTH
2010-01,1,2010-02,368,79,0.214673913043,False,COMPLETE_MONTH
2010-01,2,2010-03,368,118,0.320652173913,False,COMPLETE_MONTH
2010-01,3,2010-04,368,116,0.315217391304,False,COMPLETE_MONTH
2010-01,4,2010-05,368,100,0.271739130435,False,COMPLETE_MONTH
2010-01,5,2010-06,368,115,0.3125,False,COMPLETE_MONTH
2010-01,6,2010-07,368,99,0.26902173913,False,COMPLETE_MONTH
2010-01,7,2010-08,368,86,0.233695652174,False,COMPLETE_MONTH
2010-01,8,2010-09,368,105,0.285326086957,False,COMPLETE_MONTH
2010-01,9,2010-10,368,120,0.326086956522,False,COMPLETE_MONTH
2010-01,10,2010-11,368,114,0.309782608696,False,COMPLETE_MONTH
2010-01,11,2010-12,368,66,0.179347826087,False,COMPLETE_MONTH
2010-01,12,2011-01,368,84,0.228260869565,False,COMPLETE_MONTH
2010-01,13,2011-02,368,66,0.179347826087,False,COMPLETE_MONTH
2010-01,14,2011-03,368,72,0.195652173913,False,COMPLETE_MONTH
2010-01,15,2011-04,368,56,0.152173913043,False,COMPLETE_MONTH
2010-01,16,2011-05,368,90,0.244565217391,False,COMPLETE_MONTH
2010-01,17,2011-06,368,75,0.203804347826,False,COMPLETE_MONTH
2010-01,18,2011-07,368,71,0.192934782609,False,COMPLETE_MONTH
2010-01,19,2011-08,368,74,0.201086956522,False,COMPLETE_MONTH
2010-01,20,2011-09,368,93,0.252717391304,False,COMPLETE_MONTH
2010-01,21,2011-10,368,73,0.198369565217,False,COMPLETE_MONTH
2010-01,22,2011-11,368,93,0.252717391304,False,COMPLETE_MONTH
2010-01,23,2011-12,368,21,0.0570652173913,True,PARTIAL_THROUGH_2011-12-09
2010-02,0,2010-02,375,375,1,False,COMPLETE_MONTH
2010-02,1,2010-03,375,88,0.234666666667,False,COMPLETE_MONTH
2010-02,2,2010-04,375,85,0.226666666667,False,COMPLETE_MONTH
2010-02,3,2010-05,375,110,0.293333333333,False,COMPLETE_MONTH
2010-02,4,2010-06,375,92,0.245333333333,False,COMPLETE_MONTH
2010-02,5,2010-07,375,74,0.197333333333,False,COMPLETE_MONTH
2010-02,6,2010-08,375,72,0.192,False,COMPLETE_MONTH
2010-02,7,2010-09,375,108,0.288,False,COMPLETE_MONTH
2010-02,8,2010-10,375,96,0.256,False,COMPLETE_MONTH
2010-02,9,2010-11,375,104,0.277333333333,False,COMPLETE_MONTH
2010-02,10,2010-12,375,43,0.114666666667,False,COMPLETE_MONTH
2010-02,11,2011-01,375,47,0.125333333333,False,COMPLETE_MONTH
2010-02,12,2011-02,375,57,0.152,False,COMPLETE_MONTH
2010-02,13,2011-03,375,66,0.176,False,COMPLETE_MONTH
2010-02,14,2011-04,375,46,0.122666666667,False,COMPLETE_MONTH
2010-02,15,2011-05,375,75,0.2,False,COMPLETE_MONTH
2010-02,16,2011-06,375,60,0.16,False,COMPLETE_MONTH
2010-02,17,2011-07,375,61,0.162666666667,False,COMPLETE_MONTH
2010-02,18,2011-08,375,54,0.144,False,COMPLETE_MONTH
2010-02,19,2011-09,375,86,0.229333333333,False,COMPLETE_MONTH
2010-02,20,2011-10,375,86,0.229333333333,False,COMPLETE_MONTH
2010-02,21,2011-11,375,62,0.165333333333,False,COMPLETE_MONTH
2010-02,22,2011-12,375,22,0.0586666666667,True,PARTIAL_THROUGH_2011-12-09
2010-03,0,2010-03,441,441,1,False,COMPLETE_MONTH
2010-03,1,2010-04,441,84,0.190476190476,False,COMPLETE_MONTH
2010-03,2,2010-05,441,102,0.231292517007,False,COMPLETE_MONTH
2010-03,3,2010-06,441,107,0.242630385488,False,COMPLETE_MONTH
2010-03,4,2010-07,441,102,0.231292517007,False,COMPLETE_MONTH
2010-03,5,2010-08,441,90,0.204081632653,False,COMPLETE_MONTH
2010-03,6,2010-09,441,109,0.24716553288,False,COMPLETE_MONTH
2010-03,7,2010-10,441,135,0.30612244898,False,COMPLETE_MONTH
2010-03,8,2010-11,441,122,0.27664399093,False,COMPLETE_MONTH
2010-03,9,2010-12,441,48,0.108843537415,False,COMPLETE_MONTH
2010-03,10,2011-01,441,51,0.115646258503,False,COMPLETE_MONTH
2010-03,11,2011-02,441,64,0.145124716553,False,COMPLETE_MONTH
2010-03,12,2011-03,441,88,0.199546485261,False,COMPLETE_MONTH
2010-03,13,2011-04,441,72,0.163265306122,False,COMPLETE_MONTH
2010-03,14,2011-05,441,88,0.199546485261,False,COMPLETE_MONTH
2010-03,15,2011-06,441,75,0.170068027211,False,COMPLETE_MONTH
2010-03,16,2011-07,441,77,0.174603174603,False,COMPLETE_MONTH
2010-03,17,2011-08,441,69,0.156462585034,False,COMPLETE_MONTH
2010-03,18,2011-09,441,78,0.176870748299,False,COMPLETE_MONTH
2010-03,19,2011-10,441,90,0.204081632653,False,COMPLETE_MONTH
2010-03,20,2011-11,441,94,0.213151927438,False,COMPLETE_MONTH
2010-03,21,2011-12,441,34,0.0770975056689,True,PARTIAL_THROUGH_2011-12-09
2010-04,0,2010-04,294,294,1,False,COMPLETE_MONTH
2010-04,1,2010-05,294,56,0.190476190476,False,COMPLETE_MONTH
2010-04,2,2010-06,294,56,0.190476190476,False,COMPLETE_MONTH
2010-04,3,2010-07,294,47,0.159863945578,False,COMPLETE_MONTH
2010-04,4,2010-08,294,54,0.183673469388,False,COMPLETE_MONTH
2010-04,5,2010-09,294,65,0.221088435374,False,COMPLETE_MONTH
2010-04,6,2010-10,294,81,0.275510204082,False,COMPLETE_MONTH
2010-04,7,2010-11,294,78,0.265306122449,False,COMPLETE_MONTH
2010-04,8,2010-12,294,31,0.105442176871,False,COMPLETE_MONTH
2010-04,9,2011-01,294,32,0.108843537415,False,COMPLETE_MONTH
2010-04,10,2011-02,294,22,0.0748299319728,False,COMPLETE_MONTH
2010-04,11,2011-03,294,41,0.139455782313,False,COMPLETE_MONTH
2010-04,12,2011-04,294,42,0.142857142857,False,COMPLETE_MONTH
2010-04,13,2011-05,294,46,0.156462585034,False,COMPLETE_MONTH
2010-04,14,2011-06,294,46,0.156462585034,False,COMPLETE_MONTH
2010-04,15,2011-07,294,46,0.156462585034,False,COMPLETE_MONTH
