AcquisitionCohort,CohortIndex,ActivityMonth,CohortSize,Revenue,RevenuePerOriginalCustomer,Orders,OrdersPerOriginalCustomer,IsPartialObservation,ObservationStatus
2009-12,0,2009-12,951,681066.22,716.157960042,1497,1.57413249211,False,COMPLETE_MONTH
2009-12,1,2010-01,951,376535.171,395.936036803,536,0.563617245005,False,COMPLETE_MONTH
2009-12,2,2010-02,951,293605.312,308.733240799,557,0.585699263933,False,COMPLETE_MONTH
2009-12,3,2010-03,951,376492.02,395.890662461,709,0.745531019979,False,COMPLETE_MONTH
2009-12,4,2010-04,951,304314.52,319.994237645,621,0.652996845426,False,COMPLETE_MONTH
2009-12,5,2010-05,951,303112.49,318.730273396,604,0.635120925342,False,COMPLETE_MONTH
2009-12,6,2010-06,951,300629.42,316.119263933,630,0.662460567823,False,COMPLETE_MONTH
2009-12,7,2010-07,951,312292.23,328.382996845,589,0.619348054679,False,COMPLETE_MONTH
2009-12,8,2010-08,951,329002.06,345.953796004,539,0.566771819138,False,COMPLETE_MONTH
2009-12,9,2010-09,951,374379.78,393.669589905,666,0.700315457413,False,COMPLETE_MONTH
2009-12,10,2010-10,951,451897.19,475.18106204,746,0.78443743428,False,COMPLETE_MONTH
2009-12,11,2010-11,951,569471.292,598.813135647,1000,1.05152471083,False,COMPLETE_MONTH
2009-12,12,2010-12,951,342500.45,360.147686646,714,0.750788643533,False,COMPLETE_MONTH
2009-12,13,2011-01,951,230330.96,242.198696109,422,0.443743427971,False,COMPLETE_MONTH
2009-12,14,2011-02,951,213964.16,224.988601472,367,0.385909568875,False,COMPLETE_MONTH
2009-12,15,2011-03,951,250838.87,263.763270242,479,0.503680336488,False,COMPLETE_MONTH
2009-12,16,2011-04,951,159772.401,168.00462776,396,0.416403785489,False,COMPLETE_MONTH
2009-12,17,2011-05,951,275778.91,289.988338591,541,0.568874868559,False,COMPLETE_MONTH
2009-12,18,2011-06,951,278558.75,292.911409043,487,0.512092534175,False,COMPLETE_MONTH
2009-12,19,2011-07,951,251613.54,264.57785489,444,0.466876971609,False,COMPLETE_MONTH
2009-12,20,2011-08,951,269720.84,283.618128286,416,0.437434279706,False,COMPLETE_MONTH
2009-12,21,2011-09,951,373149.27,392.375678233,545,0.573080967403,False,COMPLETE_MONTH
2009-12,22,2011-10,951,410120.63,431.251976866,560,0.588853838065,False,COMPLETE_MONTH
2009-12,23,2011-11,951,442785.49,465.599884332,818,0.86014721346,False,COMPLETE_MONTH
2009-12,24,2011-12,951,162375.33,170.741671924,279,0.293375394322,True,PARTIAL_THROUGH_2011-12-09
2010-01,0,2010-01,368,158694.201,431.234241848,423,1.14945652174,False,COMPLETE_MONTH
2010-01,1,2010-02,368,38792.05,105.413179348,99,0.26902173913,False,COMPLETE_MONTH
2010-01,2,2010-03,368,49282.62,133.920163043,164,0.445652173913,False,COMPLETE_MONTH
2010-01,3,2010-04,368,56574.611,153.735355978,142,0.385869565217,False,COMPLETE_MONTH
2010-01,4,2010-05,368,57805.54,157.080271739,132,0.358695652174,False,COMPLETE_MONTH
2010-01,5,2010-06,368,60732.01,165.03263587,158,0.429347826087,False,COMPLETE_MONTH
2010-01,6,2010-07,368,51769.95,140.679211957,135,0.366847826087,False,COMPLETE_MONTH
2010-01,7,2010-08,368,47132.67,128.077907609,116,0.315217391304,False,COMPLETE_MONTH
2010-01,8,2010-09,368,58532.36,159.055326087,140,0.380434782609,False,COMPLETE_MONTH
2010-01,9,2010-10,368,73629.05,200.078940217,157,0.426630434783,False,COMPLETE_MONTH
2010-01,10,2010-11,368,75525.2,205.231521739,169,0.459239130435,False,COMPLETE_MONTH
2010-01,11,2010-12,368,39418.44,107.115326087,98,0.266304347826,False,COMPLETE_MONTH
2010-01,12,2011-01,368,42305.97,114.961875,101,0.274456521739,False,COMPLETE_MONTH
2010-01,13,2011-02,368,33434.06,90.853423913,85,0.23097826087,False,COMPLETE_MONTH
2010-01,14,2011-03,368,48047.35,130.563451087,101,0.274456521739,False,COMPLETE_MONTH
2010-01,15,2011-04,368,30349.43,82.4712771739,69,0.1875,False,COMPLETE_MONTH
2010-01,16,2011-05,368,49826.83,135.398994565,122,0.33152173913,False,COMPLETE_MONTH
2010-01,17,2011-06,368,39901.11,108.426929348,97,0.263586956522,False,COMPLETE_MONTH
2010-01,18,2011-07,368,47532.51,129.164429348,95,0.258152173913,False,COMPLETE_MONTH
2010-01,19,2011-08,368,41904.14,113.869945652,91,0.247282608696,False,COMPLETE_MONTH
2010-01,20,2011-09,368,59045.76,160.450434783,124,0.336956521739,False,COMPLETE_MONTH
2010-01,21,2011-10,368,57229.11,155.51388587,100,0.271739130435,False,COMPLETE_MONTH
2010-01,22,2011-11,368,57702.96,156.801521739,149,0.404891304348,False,COMPLETE_MONTH
2010-01,23,2011-12,368,8232.11,22.3698641304,25,0.0679347826087,True,PARTIAL_THROUGH_2011-12-09
2010-02,0,2010-02,375,167352.324,446.272864,437,1.16533333333,False,COMPLETE_MONTH
2010-02,1,2010-03,375,32819.94,87.51984,111,0.296,False,COMPLETE_MONTH
2010-02,2,2010-04,375,53339.27,142.238053333,118,0.314666666667,False,COMPLETE_MONTH
2010-02,3,2010-05,375,53408.66,142.423093333,138,0.368,False,COMPLETE_MONTH
2010-02,4,2010-06,375,43302.54,115.47344,116,0.309333333333,False,COMPLETE_MONTH
2010-02,5,2010-07,375,39591.03,105.57608,100,0.266666666667,False,COMPLETE_MONTH
2010-02,6,2010-08,375,37687.63,100.500346667,92,0.245333333333,False,COMPLETE_MONTH
2010-02,7,2010-09,375,52460.691,139.895176,138,0.368,False,COMPLETE_MONTH
2010-02,8,2010-10,375,52878.74,141.009973333,118,0.314666666667,False,COMPLETE_MONTH
2010-02,9,2010-11,375,54372.92,144.994453333,147,0.392,False,COMPLETE_MONTH
2010-02,10,2010-12,375,24181.9,64.4850666667,54,0.144,False,COMPLETE_MONTH
2010-02,11,2011-01,375,18786.47,50.0972533333,59,0.157333333333,False,COMPLETE_MONTH
2010-02,12,2011-02,375,27262.65,72.7004,65,0.173333333333,False,COMPLETE_MONTH
2010-02,13,2011-03,375,35154.87,93.74632,77,0.205333333333,False,COMPLETE_MONTH
2010-02,14,2011-04,375,20548.26,54.79536,53,0.141333333333,False,COMPLETE_MONTH
2010-02,15,2011-05,375,37918.76,101.116693333,110,0.293333333333,False,COMPLETE_MONTH
2010-02,16,2011-06,375,29453.58,78.54288,81,0.216,False,COMPLETE_MONTH
2010-02,17,2011-07,375,33298.52,88.7960533333,78,0.208,False,COMPLETE_MONTH
2010-02,18,2011-08,375,25175.65,67.1350666667,73,0.194666666667,False,COMPLETE_MONTH
2010-02,19,2011-09,375,45083.5,120.222666667,111,0.296,False,COMPLETE_MONTH
2010-02,20,2011-10,375,45494.54,121.318773333,108,0.288,False,COMPLETE_MONTH
2010-02,21,2011-11,375,38855.87,103.615653333,97,0.258666666667,False,COMPLETE_MONTH
2010-02,22,2011-12,375,11057.57,29.4868533333,29,0.0773333333333,True,PARTIAL_THROUGH_2011-12-09
2010-03,0,2010-03,441,209982.611,476.151045351,525,1.19047619048,False,COMPLETE_MONTH
2010-03,1,2010-04,441,49860.44,113.062222222,113,0.256235827664,False,COMPLETE_MONTH
2010-03,2,2010-05,441,51720.68,117.280453515,141,0.319727891156,False,COMPLETE_MONTH
2010-03,3,2010-06,441,64548.72,146.368979592,159,0.360544217687,False,COMPLETE_MONTH
2010-03,4,2010-07,441,50216.72,113.870113379,138,0.312925170068,False,COMPLETE_MONTH
2010-03,5,2010-08,441,55982.8,126.945124717,127,0.28798185941,False,COMPLETE_MONTH
2010-03,6,2010-09,441,65769.55,149.137301587,143,0.324263038549,False,COMPLETE_MONTH
2010-03,7,2010-10,441,81693.74,185.246575964,180,0.408163265306,False,COMPLETE_MONTH
2010-03,8,2010-11,441,76654.42,173.819546485,181,0.410430839002,False,COMPLETE_MONTH
2010-03,9,2010-12,441,21032.77,47.6933560091,69,0.156462585034,False,COMPLETE_MONTH
2010-03,10,2011-01,441,101334.06,229.78244898,56,0.126984126984,False,COMPLETE_MONTH
2010-03,11,2011-02,441,31194.13,70.7349886621,73,0.165532879819,False,COMPLETE_MONTH
2010-03,12,2011-03,441,43366.27,98.3362131519,100,0.226757369615,False,COMPLETE_MONTH
2010-03,13,2011-04,441,41784.62,94.7497052154,90,0.204081632653,False,COMPLETE_MONTH
2010-03,14,2011-05,441,47084.22,106.766938776,112,0.253968253968,False,COMPLETE_MONTH
2010-03,15,2011-06,441,31665.15,71.8030612245,90,0.204081632653,False,COMPLETE_MONTH
2010-03,16,2011-07,441,42836.24,97.1343310658,99,0.224489795918,False,COMPLETE_MONTH
2010-03,17,2011-08,441,49976.71,113.325873016,89,0.201814058957,False,COMPLETE_MONTH
2010-03,18,2011-09,441,47215.24,107.064036281,94,0.213151927438,False,COMPLETE_MONTH
2010-03,19,2011-10,441,58841.5,133.427437642,105,0.238095238095,False,COMPLETE_MONTH
2010-03,20,2011-11,441,61411.59,139.255306122,148,0.335600907029,False,COMPLETE_MONTH
2010-03,21,2011-12,441,16837.74,38.1808163265,40,0.0907029478458,True,PARTIAL_THROUGH_2011-12-09
2010-04,0,2010-04,294,123664.931,420.629017007,321,1.09183673469,False,COMPLETE_MONTH
2010-04,1,2010-05,294,18782.35,63.8855442177,65,0.221088435374,False,COMPLETE_MONTH
2010-04,2,2010-06,294,20697.24,70.3987755102,67,0.227891156463,False,COMPLETE_MONTH
2010-04,3,2010-07,294,29935.85,101.822619048,63,0.214285714286,False,COMPLETE_MONTH
2010-04,4,2010-08,294,22253.44,75.6919727891,68,0.231292517007,False,COMPLETE_MONTH
2010-04,5,2010-09,294,30614.32,104.130340136,81,0.275510204082,False,COMPLETE_MONTH
2010-04,6,2010-10,294,34611.4,117.72585034,101,0.343537414966,False,COMPLETE_MONTH
2010-04,7,2010-11,294,32650.45,111.055952381,102,0.34693877551,False,COMPLETE_MONTH
2010-04,8,2010-12,294,10096.3,34.3411564626,39,0.132653061224,False,COMPLETE_MONTH
2010-04,9,2011-01,294,17374.52,59.0970068027,38,0.12925170068,False,COMPLETE_MONTH
2010-04,10,2011-02,294,6458.09,21.966292517,26,0.0884353741497,False,COMPLETE_MONTH
2010-04,11,2011-03,294,16839.48,57.2771428571,44,0.149659863946,False,COMPLETE_MONTH
2010-04,12,2011-04,294,15693.7,53.3799319728,48,0.163265306122,False,COMPLETE_MONTH
2010-04,13,2011-05,294,22385.14,76.1399319728,54,0.183673469388,False,COMPLETE_MONTH
2010-04,14,2011-06,294,16490.74,56.090952381,53,0.180272108844,False,COMPLETE_MONTH
2010-04,15,2011-07,294,22339.75,75.9855442177,52,0.176870748299,False,COMPLETE_MONTH
2010-04,16,2011-08,294,17673.39,60.1135714286,52,0.176870748299,False,COMPLETE_MONTH
2010-04,17,2011-09,294,19349.58,65.8148979592,50,0.170068027211,False,COMPLETE_MONTH
2010-04,18,2011-10,294,25720.44,87.4844897959,67,0.227891156463,False,COMPLETE_MONTH
2010-04,19,2011-11,294,29801.26,101.364829932,93,0.316326530612,False,COMPLETE_MONTH
2010-04,20,2011-12,294,4924.97,16.7515986395,18,0.0612244897959,True,PARTIAL_THROUGH_2011-12-09
2010-05,0,2010-05,255,110056.82,431.595372549,285,1.11764705882,False,COMPLETE_MONTH
2010-05,1,2010-06,255,13592.5,53.3039215686,48,0.188235294118,False,COMPLETE_MONTH
2010-05,2,2010-07,255,14089.05,55.2511764706,47,0.18431372549,False,COMPLETE_MONTH
2010-05,3,2010-08,255,13072.11,51.2631764706,49,0.192156862745,False,COMPLETE_MONTH
2010-05,4,2010-09,255,16811.31,65.9267058824,60,0.235294117647,False,COMPLETE_MONTH
2010-05,5,2010-10,255,31105.76,121.983372549,82,0.321568627451,False,COMPLETE_MONTH
2010-05,6,2010-11,255,23317.51,91.4412156863,72,0.282352941176,False,COMPLETE_MONTH
2010-05,7,2010-12,255,9058.13,35.5220784314,37,0.145098039216,False,COMPLETE_MONTH
2010-05,8,2011-01,255,5883.27,23.0716470588,21,0.0823529411765,False,COMPLETE_MONTH
2010-05,9,2011-02,255,7024.21,27.5459215686,24,0.0941176470588,False,COMPLETE_MONTH
2010-05,10,2011-03,255,9274.83,36.3718823529,32,0.125490196078,False,COMPLETE_MONTH
2010-05,11,2011-04,255,12940.96,50.7488627451,38,0.149019607843,False,COMPLETE_MONTH
2010-05,12,2011-05,255,17210.6,67.4925490196,48,0.188235294118,False,COMPLETE_MONTH
2010-05,13,2011-06,255,18056.25,70.8088235294,43,0.16862745098,False,COMPLETE_MONTH
2010-05,14,2011-07,255,9631.04,37.7687843137,32,0.125490196078,False,COMPLETE_MONTH
2010-05,15,2011-08,255,14590.95,57.2194117647,38,0.149019607843,False,COMPLETE_MONTH
2010-05,16,2011-09,255,22115.68,86.7281568627,46,0.180392156863,False,COMPLETE_MONTH
2010-05,17,2011-10,255,17691.82,69.3796862745,50,0.196078431373,False,COMPLETE_MONTH
2010-05,18,2011-11,255,15721.99,61.6548627451,55,0.21568627451,False,COMPLETE_MONTH
2010-05,19,2011-12,255,3422.64,13.4221176471,15,0.0588235294118,True,PARTIAL_THROUGH_2011-12-09
2010-06,0,2010-06,267,128733.47,482.147827715,304,1.13857677903,False,COMPLETE_MONTH
2010-06,1,2010-07,267,15996.36,59.9114606742,57,0.213483146067,False,COMPLETE_MONTH
2010-06,2,2010-08,267,22190.81,83.1116479401,62,0.232209737828,False,COMPLETE_MONTH
2010-06,3,2010-09,267,25779.05,96.5507490637,65,0.243445692884,False,COMPLETE_MONTH
2010-06,4,2010-10,267,34975.14,130.993033708,75,0.280898876404,False,COMPLETE_MONTH
2010-06,5,2010-11,267,47943.61,179.564082397,101,0.378277153558,False,COMPLETE_MONTH
2010-06,6,2010-12,267,15697.6,58.7925093633,52,0.194756554307,False,COMPLETE_MONTH
2010-06,7,2011-01,267,17135.23,64.1768913858,27,0.101123595506,False,COMPLETE_MONTH
2010-06,8,2011-02,267,23880.97,89.441835206,28,0.104868913858,False,COMPLETE_MONTH
2010-06,9,2011-03,267,28162.3,105.476779026,34,0.12734082397,False,COMPLETE_MONTH
2010-06,10,2011-04,267,12000.35,44.9451310861,35,0.131086142322,False,COMPLETE_MONTH
2010-06,11,2011-05,267,29876.68,111.897677903,49,0.183520599251,False,COMPLETE_MONTH
2010-06,12,2011-06,267,40124.65,150.279588015,49,0.183520599251,False,COMPLETE_MONTH
2010-06,13,2011-07,267,16082.42,60.2337827715,39,0.14606741573,False,COMPLETE_MONTH
2010-06,14,2011-08,267,45811.64,171.57917603,38,0.142322097378,False,COMPLETE_MONTH
2010-06,15,2011-09,267,18522.02,69.3708614232,41,0.153558052434,False,COMPLETE_MONTH
2010-06,16,2011-10,267,34853.7,130.538202247,42,0.157303370787,False,COMPLETE_MONTH
2010-06,17,2011-11,267,27599.25,103.367977528,79,0.295880149813,False,COMPLETE_MONTH
2010-06,18,2011-12,267,4127.64,15.4593258427,13,0.0486891385768,True,PARTIAL_THROUGH_2011-12-09
2010-07,0,2010-07,185,69497.34,375.661297297,233,1.25945945946,False,COMPLETE_MONTH
2010-07,1,2010-08,185,8261.9,44.6589189189,34,0.183783783784,False,COMPLETE_MONTH
2010-07,2,2010-09,185,13503.63,72.9925945946,49,0.264864864865,False,COMPLETE_MONTH
2010-07,3,2010-10,185,24319.65,131.457567568,71,0.383783783784,False,COMPLETE_MONTH
2010-07,4,2010-11,185,28241.3,152.655675676,84,0.454054054054,False,COMPLETE_MONTH
2010-07,5,2010-12,185,8813.75,47.6418918919,35,0.189189189189,False,COMPLETE_MONTH
2010-07,6,2011-01,185,8744.8,47.2691891892,30,0.162162162162,False,COMPLETE_MONTH
2010-07,7,2011-02,185,10217.4,55.2291891892,32,0.172972972973,False,COMPLETE_MONTH
2010-07,8,2011-03,185,9937.58,53.7166486486,35,0.189189189189,False,COMPLETE_MONTH
2010-07,9,2011-04,185,9798.37,52.9641621622,32,0.172972972973,False,COMPLETE_MONTH
2010-07,10,2011-05,185,8921.44,48.224,32,0.172972972973,False,COMPLETE_MONTH
2010-07,11,2011-06,185,12503.11,67.5843783784,34,0.183783783784,False,COMPLETE_MONTH
2010-07,12,2011-07,185,12004.72,64.8903783784,35,0.189189189189,False,COMPLETE_MONTH
2010-07,13,2011-08,185,14214.67,76.8360540541,35,0.189189189189,False,COMPLETE_MONTH
2010-07,14,2011-09,185,15577.83,84.2044864865,48,0.259459459459,False,COMPLETE_MONTH
2010-07,15,2011-10,185,15465.63,83.598,43,0.232432432432,False,COMPLETE_MONTH
2010-07,16,2011-11,185,22094.12,119.427675676,68,0.367567567568,False,COMPLETE_MONTH
2010-07,17,2011-12,185,7065.3,38.1908108108,20,0.108108108108,True,PARTIAL_THROUGH_2011-12-09
2010-08,0,2010-08,163,60995.8,374.207361963,189,1.15950920245,False,COMPLETE_MONTH
2010-08,1,2010-09,163,11341.25,69.5782208589,44,0.269938650307,False,COMPLETE_MONTH
2010-08,2,2010-10,163,19049.32,116.866993865,63,0.386503067485,False,COMPLETE_MONTH
2010-08,3,2010-11,163,23864.54,146.408220859,83,0.509202453988,False,COMPLETE_MONTH
2010-08,4,2010-12,163,14067.73,86.3050920245,39,0.239263803681,False,COMPLETE_MONTH
2010-08,5,2011-01,163,5432.59,33.3287730061,20,0.122699386503,False,COMPLETE_MONTH
2010-08,6,2011-02,163,5118.13,31.3995705521,16,0.0981595092025,False,COMPLETE_MONTH
2010-08,7,2011-03,163,7525.94,46.1714110429,28,0.171779141104,False,COMPLETE_MONTH
2010-08,8,2011-04,163,9776.13,59.9762576687,27,0.165644171779,False,COMPLETE_MONTH
