AcquisitionCohort,CohortSize,ObservedThroughIndex,LifecycleRevenue,LifecycleOrders,Month1Retention,Month2Retention,Month3Retention,Month6Retention,Month12Retention,IsLeftBoundaryCohort,IsPartialAcquisitionCohort
2009-12,951,24,8334307.306,15162,0.350157728707,0.333333333333,0.424815983176,0.376445846477,0.376445846477,True,False
2010-01,368,23,1283400.042,3092,0.214673913043,0.320652173913,0.315217391304,0.26902173913,0.228260869565,False,False
2010-02,375,22,979485.885,2510,0.234666666667,0.226666666667,0.293333333333,0.192,0.152,False,False
2010-03,441,21,1301009.921,2872,0.190476190476,0.231292517007,0.242630385488,0.24716553288,0.199546485261,False,False
2010-04,294,20,538357.341,1502,0.190476190476,0.190476190476,0.159863945578,0.275510204082,0.142857142857,False,False
2010-05,255,19,384667.43,1122,0.156862745098,0.16862745098,0.176470588235,0.211764705882,0.152941176471,False,False
2010-06,267,18,589492.89,1190,0.176029962547,0.187265917603,0.205992509363,0.12734082397,0.149812734082,False,False
2010-07,185,17,299182.54,950,0.156756756757,0.183783783784,0.297297297297,0.113513513514,0.12972972973,False,False
2010-08,163,16,241637.93,728,0.196319018405,0.288343558282,0.325153374233,0.0981595092025,0.147239263804,False,False
2010-09,239,15,586430.481,998,0.230125523013,0.234309623431,0.129707112971,0.138075313808,0.225941422594,False,False
2010-10,375,14,515745.12,1337,0.258666666667,0.146666666667,0.125333333333,0.130666666667,0.192,False,False
2010-11,326,13,351988.92,1024,0.174846625767,0.0950920245399,0.0950920245399,0.128834355828,0.251533742331,False,False
2010-12,76,12,62228.48,156,0.0921052631579,0.0526315789474,0.0921052631579,0.0526315789474,,False,False
2011-01,72,11,139914.05,261,0.166666666667,0.222222222222,0.194444444444,0.152777777778,,False,False
2011-02,125,10,139729.15,400,0.16,0.16,0.184,0.16,,False,False
2011-03,179,9,215648.88,622,0.178770949721,0.217877094972,0.201117318436,0.206703910615,,False,False
2011-04,106,8,104636.34,352,0.245283018868,0.198113207547,0.198113207547,0.179245283019,,False,False
2011-05,111,7,281015.59,344,0.234234234234,0.243243243243,0.162162162162,0.261261261261,,False,False
2011-06,108,6,134992.89,302,0.231481481481,0.212962962963,0.268518518519,,,False,False
2011-07,101,5,92585.571,281,0.207920792079,0.29702970297,0.277227722772,,,False,False
2011-08,107,4,135713.15,253,0.261682242991,0.299065420561,0.261682242991,,,False,False
2011-09,188,3,153782.05,424,0.271276595745,0.377659574468,,,,False,False
2011-10,221,2,143019.19,412,0.316742081448,,,,,False,False
2011-11,191,1,93203.81,273,,,,,,False,False
2011-12,28,0,23497.09,30,,,,,,False,True
