CustomerID,FirstPurchaseDate,SecondPurchaseDate,AcquisitionCohort,HasRepeatPurchase,DaysToSecondPurchase
12346,2010-03-02 13:08:00,2010-06-28 13:53:00,2010-03,True,118
12347,2010-10-31 14:20:00,2010-12-07 14:57:00,2010-10,True,37
12348,2010-09-27 14:59:00,2010-12-16 19:09:00,2010-09,True,80
12349,2010-04-29 13:20:00,2010-10-28 08:23:00,2010-04,True,182
12350,2011-02-02 16:01:00,,2011-02,False,
12351,2010-11-29 15:23:00,,2010-11,False,
12352,2010-11-12 10:20:00,2010-11-29 10:07:00,2010-11,True,17
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2010-10,True,204
12354,2011-04-21 13:11:00,,2011-04,False,
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2010-05,True,353
12356,2010-10-11 09:42:00,2010-11-11 14:23:00,2010-10,True,31
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,2010-11,True,355
12358,2009-12-08 07:59:00,2010-06-07 12:28:00,2009-12,True,181
12359,2009-12-05 13:32:00,2009-12-16 15:24:00,2009-12,True,11
12360,2010-02-22 09:32:00,2010-05-25 09:55:00,2010-02,True,92
12361,2010-01-26 14:37:00,2010-05-09 15:33:00,2010-01,True,103
12362,2011-02-17 10:30:00,2011-04-28 09:12:00,2011-02,True,70
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2011-04,True,133
12364,2011-08-19 15:24:00,2011-09-22 16:07:00,2011-08,True,34
12365,2011-02-21 13:51:00,,2011-02,False,
12366,2010-03-16 10:28:00,,2010-03,False,
12367,2011-12-05 16:48:00,,2011-12,False,
12368,2010-03-21 15:56:00,,2010-03,False,
12369,2010-03-08 08:09:00,2010-09-16 14:34:00,2010-03,True,192
12370,2010-02-09 09:41:00,2010-03-25 10:28:00,2010-02,True,44
12371,2010-03-04 18:23:00,2010-03-04 18:25:00,2010-03,True,0
12372,2011-02-16 12:46:00,2011-05-11 10:43:00,2011-02,True,84
12373,2010-02-04 12:08:00,2010-03-25 13:49:00,2010-02,True,49
12374,2010-04-30 14:01:00,2010-10-14 10:16:00,2010-04,True,167
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2011-09,True,88
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2010-10,True,28
12377,2010-04-29 15:34:00,2010-11-23 19:24:00,2010-04,True,208
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,2010-05,True,433
12379,2010-06-23 12:49:00,2010-10-13 14:46:00,2010-06,True,112
12380,2010-02-15 12:05:00,2010-06-29 15:17:00,2010-02,True,134
12381,2011-08-12 09:57:00,2011-11-06 13:36:00,2011-08,True,86
12383,2010-12-22 14:28:00,2011-01-12 14:10:00,2010-12,True,21
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2011-08,True,93
12385,2010-11-25 15:14:00,,2010-11,False,
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2010-12,True,29
12387,2010-10-20 16:27:00,,2010-10,False,
12388,2010-05-06 12:54:00,2010-09-20 12:41:00,2010-05,True,137
12389,2010-02-22 10:15:00,2010-05-21 15:12:00,2010-02,True,88
12390,2011-09-21 09:33:00,,2011-09,False,
12391,2010-02-15 10:12:00,2010-02-22 10:13:00,2010-02,True,7
12392,2010-04-27 14:04:00,,2010-04,False,
12393,2010-10-07 13:49:00,2010-11-22 16:10:00,2010-10,True,46
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2011-05,True,154
12395,2010-04-16 10:16:00,2010-08-02 12:37:00,2010-04,True,108
12396,2010-02-03 13:22:00,,2010-02,False,
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2011-07,True,100
12398,2011-10-25 10:27:00,,2011-10,False,
12399,2010-03-05 08:45:00,2010-07-08 09:13:00,2010-03,True,125
12400,2010-10-21 13:45:00,,2010-10,False,
12401,2011-02-09 13:50:00,,2011-02,False,
12402,2010-02-07 12:41:00,2010-04-18 12:04:00,2010-02,True,70
12403,2010-07-06 11:39:00,2011-10-21 10:51:00,2010-07,True,472
12405,2011-07-14 08:52:00,,2011-07,False,
12406,2010-01-11 14:04:00,2010-04-22 18:41:00,2010-01,True,101
12407,2011-03-20 13:21:00,2011-04-18 12:25:00,2011-03,True,29
12408,2010-07-29 13:27:00,2010-09-15 13:16:00,2010-07,True,48
12409,2010-05-23 15:21:00,2010-06-08 13:40:00,2010-05,True,16
12410,2010-07-25 13:26:00,2011-02-04 10:38:00,2010-07,True,194
12411,2010-10-26 09:25:00,,2010-10,False,
12412,2010-06-18 13:22:00,2010-08-09 14:26:00,2010-06,True,52
12413,2010-11-02 13:26:00,2011-01-06 16:12:00,2010-11,True,65
12414,2010-09-02 12:22:00,2011-02-02 14:51:00,2010-09,True,153
12415,2010-06-30 08:30:00,2010-07-16 14:47:00,2010-06,True,16
12416,2010-02-21 10:19:00,,2010-02,False,
12417,2009-12-06 10:30:00,2009-12-10 11:25:00,2009-12,True,4
12418,2010-03-19 14:47:00,2010-05-12 13:11:00,2010-03,True,54
12419,2010-10-22 10:40:00,2010-11-19 10:04:00,2010-10,True,28
12420,2011-10-07 08:55:00,,2011-10,False,
12421,2010-07-22 13:57:00,2010-10-20 14:28:00,2010-07,True,90
12422,2009-12-18 12:44:00,2010-02-14 11:15:00,2009-12,True,58
12423,2010-08-31 09:31:00,2010-11-17 11:33:00,2010-08,True,78
12424,2010-06-09 15:15:00,2010-10-13 10:29:00,2010-06,True,126
12425,2010-09-17 14:10:00,2011-09-22 17:31:00,2010-09,True,370
12426,2010-02-15 08:41:00,2011-05-29 12:26:00,2010-02,True,468
12427,2010-12-03 10:44:00,2011-10-10 15:15:00,2010-12,True,311
12428,2011-03-01 09:33:00,2011-03-01 09:35:00,2011-03,True,0
