CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Code,RFM_Total,Segment,FirstPurchaseDate,LastPurchaseDate,UnitsPurchased,ActiveLifespanDays,AverageOrderValue
12346,326,3,77352.96,2,3,5,235,10,At Risk,2010-03-02 13:08:00,2011-01-18 10:01:00,74239,322,25784.32
12347,3,8,4921.53,5,4,5,545,14,Champions,2010-10-31 14:20:00,2011-12-07 15:52:00,2967,402,615.19125
12348,76,5,1658.4,3,4,4,344,11,Loyal Customers,2010-09-27 14:59:00,2011-09-25 13:13:00,2704,363,331.68
12349,19,3,3678.69,5,3,5,535,13,Potential Loyalists,2010-04-29 13:20:00,2011-11-21 09:51:00,1621,571,1226.23
12350,311,1,294.4,2,1,2,212,5,Hibernating,2011-02-02 16:01:00,2011-02-02 16:01:00,196,0,294.4
12351,376,1,300.93,2,1,2,212,5,Hibernating,2010-11-29 15:23:00,2010-11-29 15:23:00,261,0,300.93
12352,37,9,1729.54,4,5,4,454,13,Champions,2010-11-12 10:20:00,2011-11-03 14:37:00,714,356,192.171111111
12353,205,2,406.76,2,2,2,222,6,Hibernating,2010-10-27 12:44:00,2011-05-19 17:47:00,212,204,203.38
12354,233,1,1079.4,2,1,3,213,6,Hibernating,2011-04-21 13:11:00,2011-04-21 13:11:00,530,0,1079.4
12355,215,2,947.61,2,2,3,223,7,Hibernating,2010-05-21 11:59:00,2011-05-09 13:49:00,543,353,473.805
12356,23,6,5613.68,4,4,5,445,13,Champions,2010-10-11 09:42:00,2011-11-17 08:40:00,3377,402,935.613333333
12357,34,2,17437.66,4,2,5,425,11,Potential Loyalists,2010-11-16 10:05:00,2011-11-06 16:07:00,6586,355,8718.83
12358,2,5,3447.07,5,4,5,545,14,Champions,2009-12-08 07:59:00,2011-12-08 10:26:00,1068,730,689.414
12359,58,10,8935.94,4,5,5,455,14,Champions,2009-12-05 13:32:00,2011-10-13 12:47:00,2752,677,893.594
12360,53,6,3612.89,4,4,5,445,13,Champions,2010-02-22 09:32:00,2011-10-18 15:22:00,2443,603,602.148333333
12361,288,4,451.25,2,3,2,232,7,At Risk,2010-01-26 14:37:00,2011-02-25 13:51:00,231,395,112.8125
12362,4,10,4737.23,5,5,5,555,15,Champions,2011-02-17 10:30:00,2011-12-06 15:40:00,2197,292,473.723
12363,110,2,552,3,2,2,322,7,Need Attention,2011-04-11 13:29:00,2011-08-22 10:18:00,408,133,276
12364,8,4,1208.1,5,3,3,533,11,Potential Loyalists,2011-08-19 15:24:00,2011-12-02 10:22:00,1499,105,302.025
12365,292,1,320.69,2,1,2,212,5,Hibernating,2011-02-21 13:51:00,2011-02-21 13:51:00,173,0,320.69
12366,634,1,500.24,1,1,2,112,4,Lost,2010-03-16 10:28:00,2010-03-16 10:28:00,296,0,500.24
12367,5,1,150.9,5,1,1,511,7,New Customers,2011-12-05 16:48:00,2011-12-05 16:48:00,172,0,150.9
12368,629,1,917.7,1,1,3,113,5,Lost,2010-03-21 15:56:00,2010-03-21 15:56:00,330,0,917.7
12369,414,3,1511.15,1,3,4,134,8,At Risk,2010-03-08 08:09:00,2010-10-22 13:13:00,1234,228,503.716666667
12370,52,7,3960.31,4,4,5,445,13,Champions,2010-02-09 09:41:00,2011-10-19 14:51:00,2596,617,565.758571429
12371,60,4,3347.38,3,3,5,335,11,Promising,2010-03-04 18:23:00,2011-10-11 10:43:00,1418,586,836.845
12372,72,3,1196.04,3,3,3,333,9,Promising,2011-02-16 12:46:00,2011-09-29 12:12:00,788,225,398.68
12373,312,3,927.65,2,3,3,233,8,At Risk,2010-02-04 12:08:00,2011-02-01 13:10:00,511,362,309.216666667
